countryName,IU11,GDP11,GDP_PC11,GDP_PC_Growth11,Health_Exp11,HDI11,EDI11,CPI11,PSI11,Unemployment11
Jamaica,37.438613414848,8112.12923009471,8112.12923,1.1735090600902,250.9009546,0.723,0.689,3.34,-0.0629833,12.69999981
Japan,79.0541135244739,35774.6967129559,35774.69671,0.0697628079004318,5087.102201,0.89,0.813,8.04,0.995092,4.520999908
Jordan,34.9,9235.87913208618,9235.879132,-2.78935125586044,317.5778092,0.725,0.68,4.49,-0.5135623,12.89999962
Kazakhstan,50.6,21276.9340240625,21276.93402,5.87351405658258,311.4428531,0.772,0.791,2.69,-0.3385706,5.389999866
Kenya,8.8,2515.92747137232,2515.927471,3.28814461707709,57.38742427,0.54,0.501,2.24,-1.244791,9.67800045
Kiribati,10.0,1749.23346125585,1749.233461,-0.152553371136122,148.8939391,0.587,0.593,3.08,1.302488,0.0
Kuwait,65.7690706867398,78021.6716759992,78021.67168,3.53199240505253,1263.820736,0.796,0.601,4.62,0.3111027,2.059000015
Kyrgyzstan,17.5,2920.6032099095,2920.60321,4.67471569577968,79.99365745,0.639,0.697,2.12,-1.098031,8.529999733
Latvia,69.7499545592245,19789.4764031104,19789.4764,8.23804817881964,764.5917414,0.822,0.848,4.19,0.3200021,16.20599937
Lebanon,52.0,13841.5350103708,13841.53501,-3.91800038397447,711.584325,0.753,0.637,2.49,-1.558288,6.43599987
Lesotho,7.0,2578.63963387474,2578.639634,6.1933566891953,120.7744207,0.47,0.498,3.52,0.3839408,26.43899918
Liberia,2.5,1154.40937039294,1154.40937,4.80489688537516,53.61320717,0.457,0.428,3.19,-0.4273703,2.27699995
Libya,14.0,11096.1563633459,11096.15636,-62.3780768411361,312.5773146,0.708,0.625,2.01,-1.287379,19.56800079
Lithuania,63.6399774002179,22823.9183852478,22823.91839,8.44743360077787,925.4665652,0.831,0.86,4.75,0.6712003,15.39000034
Luxembourg,90.0298585646936,92005.0168361444,92005.01684,0.285277509939249,7165.353721,0.892,0.78,8.51,1.317427,4.901000023
Madagascar,1.9,1596.89408977853,1596.89409,-1.18866898787051,22.66598263,0.504,0.484,3.04,-0.7055859,2.062999964
Malawi,3.33,1097.94213514177,1097.942135,1.89318713235363,38.38077056,0.447,0.433,3.0,-0.0729127,6.373000145
Malaysia,61.0,21806.8227852715,21806.82279,3.66615628289205,352.5934203,0.779,0.694,4.31,0.0774098,3.049999952
Maldives,34.0,12486.4469115962,12486.44691,4.35497370805287,585.9229743,0.681,0.513,2.47,-0.2426302,4.390999794
Mali,2.2,1877.89282805323,1877.892828,0.144374408582081,34.23571815,0.408,0.283,2.76,-0.7083797,6.900000095
Malta,68.0198237885462,28585.8204520107,28585.82045,0.878821508859758,1960.425811,0.848,0.763,5.59,1.063937,6.377999783
Mauritania,4.5,3483.52210100308,3483.522101,1.66496581729245,44.00234112,0.494,0.344,2.43,-1.173679,10.30099964
Mauritius,34.95,16561.7709831855,16561.77098,3.9110012482051,396.6302363,0.756,0.681,5.07,0.9464994,7.447000027
Mexico,37.1762954125184,16520.2585085371,16520.25851,2.22716085156813,547.2699909,0.746,0.638,2.97,-0.6677686,5.170000076
Mongolia,12.4999911084745,8853.12541902053,8853.125419,15.1541628086024,122.3609532,0.711,0.734,2.68,0.6065389,4.769000053
Montenegro,35.6115412460109,14472.4582555656,14472.45826,3.12007432344627,0.0,0.797,0.788,3.97,0.5653415,19.67099953
Morocco,46.107482597,6703.87683123861,6703.876831,3.8353236533889,176.8651459,0.627,0.463,3.44,-0.3922568,8.909999847
Mozambique,4.3,1078.20860260835,1078.208603,4.49111441373786,23.23276143,0.391,0.344,2.69,0.3320483,3.733999968
