countryName,IU14,GDP14,GDP_PC14,GDP_PC_Growth14,Health_Exp14,HDI14,EDI14,CPI14,PSI14,Unemployment14
South Sudan,4.51615373,1920.62762594982,1817.598265,1.41636334724149,0.0,0.435,0.309,15.0,-2.646577,12.44200039
Sudan,24.64,4397.80934324047,4161.895062,0.232297870942546,115.544126,0.496,0.327,11.0,-2.363085,13.20899963
Tajikistan,17.49,2726.50719409668,2580.24756,4.20972463068894,74.30047894,0.642,0.664,23.0,-0.6933408,11.64900017
Togo,5.7,1504.32207976468,1423.553002,3.20095983066166,40.19228962,0.495,0.491,29.0,-0.1671269,1.786000013
Tonga,35.95444145,5567.03541123729,5268.399647,2.82025869768351,215.9649833,0.699,0.734,0.0,0.8471965,1.110000014
Turkmenistan,12.2,15144.5454464609,14332.13766,8.28314040832132,437.7528197,0.696,0.627,17.0,0.074206,3.895999908
Uganda,16.9,1820.1296663218,1722.491377,1.64121297118946,48.20641504,0.509,0.495,26.0,-0.9411262,1.888000011
Uzbekistan,35.5,6866.48177402065,6498.139042,5.38656329739868,117.3688353,0.693,0.702,18.0,-0.2731086,5.090000153
Vanuatu,18.8,2997.94308877206,2837.122659,-0.48157635071567,108.804164,0.589,0.529,0.0,0.6360453,5.869999886
Yemen,22.55,4045.50003143459,3828.484887,-2.80297619948192,79.74615338,0.504,0.343,19.0,-2.665575,13.46700001
Zambia,19.0,3893.54947812123,3684.685507,1.47842443546141,66.55567003,0.565,0.53,38.0,0.156212,7.706999779
Zimbabwe,16.3647399572904,2648.56896744481,2506.49022,0.596198048811488,89.07984198,0.537,0.557,21.0,-0.7135702,5.518000126
